USER_ID,AGE,GENDER,NAME,PERSONA,DISCOUNT_PERSONA,BEHAVIOUR_CATEGORY,USED
48,35,F,Connie Thomas,groceries_beauty_housewares,DISCOUNT_INTERESTED,AVERAGE,Y
49,36,M,Daniel Bryant,groceries_seasonal_tools,DISCOUNT_INTERESTED,AVERAGE,Y
50,25,M,Tyrone Matthews,beauty_electronics_groceries,DISCOUNT_INTERESTED,AVERAGE,Y
51,61,M,Aaron Parker,homedecor_electronics_outdoors,DISCOUNT_NOT_INTERESTED,AVERAGE,Y
52,45,M,Jason Washington,floral_beauty_jewelry,DISCOUNT_NOT_INTERESTED,AVERAGE,Y
53,56,F,Melanie Pierce,tools_housewares_apparel,DISCOUNT_NOT_INTERESTED,AVERAGE,Y
54,52,M,William Byrd,instruments_books_electronics,DISCOUNT_NOT_INTERESTED,HIGH_COVERSION,Y
55,38,F,Laura Lloyd,instruments_books_electronics,DISCOUNT_NOT_INTERESTED,HIGH_COVERSION,Y
56,54,M,Christopher Cunningham,groceries_seasonal_tools,DISCOUNT_NOT_INTERESTED,LOW_CONVERSION,Y
57,21,F,Christine Rojas,beauty_electronics_groceries,DISCOUNT_NOT_INTERESTED,AVERAGE,Y
58,25,F,Angela Norton,groceries_beauty_housewares,DISCOUNT_INTERESTED,AVERAGE,Y
59,20,F,Jennifer Torres,housewares_floral_groceries,DISCOUNT_INTERESTED,AVERAGE,Y
60,29,M,Leonard Martin,groceries_furniture_floral,DISCOUNT_INTERESTED,AVERAGE,Y
61,31,F,Jasmin Allen,beauty_accessories_instruments,DISCOUNT_INTERESTED,AVERAGE,Y
62,28,F,Alexandria Taylor,floral_beauty_jewelry,DISCOUNT_NOT_INTERESTED,AVERAGE,Y
63,48,M,Angel Cox,instruments_books_electronics,DISCOUNT_INTERESTED,AVERAGE,Y
64,30,M,Eric Harris,beauty_electronics_groceries,DISCOUNT_NOT_INTERESTED,LOW_CONVERSION,Y
65,28,M,Erik Martinez,furniture_homedecor_housewares,DISCOUNT_NOT_INTERESTED,AVERAGE,Y
66,36,M,Cody Ramirez,tools_housewares_apparel,DISCOUNT_NOT_INTERESTED,AVERAGE,Y
67,23,M,Phillip Gould,homedecor_electronics_outdoors,DISCOUNT_NOT_INTERESTED,AVERAGE,Y
68,46,M,Anthony Hernandez,electronics_outdoors_footwear,DISCOUNT_NOT_INTERESTED,HIGH_COVERSION,Y
69,21,F,Tiffany Myers,housewares_floral_groceries,DISCOUNT_INTERESTED,AVERAGE,Y
70,66,M,Benjamin Jackson,housewares_tools_beauty,DISCOUNT_NOT_INTERESTED,AVERAGE,Y
71,45,F,Maria Hughes,books_apparel_homedecor,DISCOUNT_NOT_INTERESTED,HIGH_COVERSION,Y
72,25,M,Francisco Acosta,floral_beauty_jewelry,DISCOUNT_NOT_INTERESTED,HIGH_COVERSION,Y
73,18,F,Diana Vasquez,accessories_groceries_books,DISCOUNT_INTERESTED,AVERAGE,Y
74,47,F,Laurie Bailey,beauty_accessories_instruments,DISCOUNT_INTERESTED,AVERAGE,Y
75,42,M,Chris Cannon,floral_beauty_jewelry,DISCOUNT_NOT_INTERESTED,AVERAGE,Y
76,43,F,Jennifer Hudson,homedecor_electronics_outdoors,DISCOUNT_NOT_INTERESTED,AVERAGE,Y
77,45,M,Shawn Collins,housewares_floral_groceries,DISCOUNT_NOT_INTERESTED,LOW_CONVERSION,Y
78,21,F,Lisa Wheeler,groceries_seasonal_tools,DISCOUNT_INTERESTED,AVERAGE,Y
79,30,M,Travis Chan,electronics_outdoors_footwear,DISCOUNT_INTERESTED,AVERAGE,Y
80,22,M,Logan Huffman,instruments_books_electronics,DISCOUNT_INTERESTED,AVERAGE,Y
81,50,M,Paul Flores,apparel_footwear_accessories,DISCOUNT_NOT_INTERESTED,AVERAGE,Y
82,39,M,Brian Carr,instruments_books_electronics,DISCOUNT_NOT_INTERESTED,LOW_CONVERSION,Y
83,30,M,Michael Walls,books_apparel_homedecor,DISCOUNT_INTERESTED,AVERAGE,Y
84,20,F,Melissa Phillips,housewares_floral_groceries,DISCOUNT_INTERESTED,AVERAGE,Y
85,29,M,Timothy Gilbert,outdoors_instruments_groceries,DISCOUNT_NOT_INTERESTED,LOW_CONVERSION,Y
86,29,M,Thomas Short,footwear_jewelry_furniture,DISCOUNT_INTERESTED,AVERAGE,Y
87,43,F,Jane Short,groceries_furniture_floral,DISCOUNT_INTERESTED,AVERAGE,Y
88,39,F,Christina Carpenter,groceries_seasonal_tools,DISCOUNT_NOT_INTERESTED,AVERAGE,Y
89,51,F,Stacey Jones,housewares_floral_groceries,DISCOUNT_NOT_INTERESTED,AVERAGE,Y
90,34,M,Andrew Wong,homedecor_electronics_outdoors,DISCOUNT_NOT_INTERESTED,AVERAGE,Y
91,22,M,Bryan Hall,housewares_tools_beauty,DISCOUNT_INTERESTED,AVERAGE,Y
92,42,M,David Cruz,apparel_footwear_accessories,DISCOUNT_INTERESTED,LOW_CONVERSION,Y
93,44,M,Dean Herrera,outdoors_instruments_groceries,DISCOUNT_NOT_INTERESTED,AVERAGE,Y
94,37,M,Ian Pena,tools_housewares_apparel,DISCOUNT_INTERESTED,AVERAGE,Y
95,45,M,Robert Andrews,tools_housewares_apparel,DISCOUNT_INTERESTED,AVERAGE,Y
96,35,M,Donald White,instruments_books_electronics,DISCOUNT_INTERESTED,AVERAGE,Y
97,36,F,Melissa Olsen,electronics_outdoors_footwear,DISCOUNT_NOT_INTERESTED,AVERAGE,Y
98,33,F,Heather Frazier,tools_housewares_apparel,DISCOUNT_INTERESTED,AVERAGE,Y
99,19,F,Nicole Meyer,groceries_seasonal_tools,DISCOUNT_INTERESTED,AVERAGE,Y
100,22,F,Ann Parker,beauty_accessories_instruments,DISCOUNT_INTERESTED,AVERAGE,Y
101,19,M,Bobby Garrett,furniture_homedecor_housewares,DISCOUNT_INTERESTED,AVERAGE,Y
102,39,M,Richard Jimenez,instruments_books_electronics,DISCOUNT_NOT_INTERESTED,AVERAGE,Y
103,29,M,David Novak,groceries_beauty_housewares,DISCOUNT_INTERESTED,LOW_CONVERSION,Y
104,35,M,Nicholas Andrade,accessories_groceries_books,DISCOUNT_NOT_INTERESTED,AVERAGE,Y
105,53,M,Nicholas Davenport,accessories_groceries_books,DISCOUNT_INTERESTED,LOW_CONVERSION,Y
106,27,M,Kyle Holmes,beauty_accessories_instruments,DISCOUNT_NOT_INTERESTED,AVERAGE,Y
107,32,F,Samantha Norris,groceries_beauty_housewares,DISCOUNT_NOT_INTERESTED,LOW_CONVERSION,Y
108,44,F,Kathryn Ayala,floral_beauty_jewelry,DISCOUNT_NOT_INTERESTED,AVERAGE,Y
109,26,F,Christine Medina,floral_beauty_jewelry,DISCOUNT_NOT_INTERESTED,AVERAGE,Y
110,21,M,Gavin Long,electronics_outdoors_footwear,DISCOUNT_INTERESTED,HIGH_COVERSION,Y
111,28,M,Joshua Clark,homedecor_electronics_outdoors,DISCOUNT_NOT_INTERESTED,AVERAGE,Y
112,24,F,Sarah Henry,groceries_beauty_housewares,DISCOUNT_INTERESTED,LOW_CONVERSION,Y
113,55,F,Elizabeth Carey,apparel_footwear_accessories,DISCOUNT_NOT_INTERESTED,LOW_CONVERSION,Y
114,47,F,Rhonda Franklin,electronics_outdoors_footwear,DISCOUNT_NOT_INTERESTED,AVERAGE,Y
115,39,M,Steven Wilkins,homedecor_electronics_outdoors,DISCOUNT_NOT_INTERESTED,LOW_CONVERSION,Y
116,50,F,Diane Tyler,outdoors_instruments_groceries,DISCOUNT_NOT_INTERESTED,HIGH_COVERSION,Y
117,46,F,Jodi Sampson,beauty_electronics_groceries,DISCOUNT_INTERESTED,HIGH_COVERSION,Y
118,25,F,Kim Mejia,beauty_electronics_groceries,DISCOUNT_NOT_INTERESTED,AVERAGE,Y
119,52,M,Joel Jackson,instruments_books_electronics,DISCOUNT_NOT_INTERESTED,HIGH_COVERSION,Y
120,36,M,Tony Graham,beauty_electronics_groceries,DISCOUNT_NOT_INTERESTED,HIGH_COVERSION,Y
121,46,F,Joy Mccormick,beauty_electronics_groceries,DISCOUNT_NOT_INTERESTED,AVERAGE,Y
122,52,F,Morgan Fisher,groceries_seasonal_tools,DISCOUNT_NOT_INTERESTED,AVERAGE,Y
123,29,F,Sara Mullins,accessories_groceries_books,DISCOUNT_NOT_INTERESTED,LOW_CONVERSION,Y
124,22,F,Martha Myers,housewares_floral_groceries,DISCOUNT_INTERESTED,AVERAGE,Y
125,26,M,Steven Dominguez,floral_beauty_jewelry,DISCOUNT_INTERESTED,AVERAGE,Y
126,33,F,Angel Duncan,groceries_seasonal_tools,DISCOUNT_NOT_INTERESTED,AVERAGE,Y
127,47,M,Matthew Evans,outdoors_instruments_groceries,DISCOUNT_INTERESTED,LOW_CONVERSION,Y
128,50,M,Christopher Williams,outdoors_instruments_groceries,DISCOUNT_NOT_INTERESTED,HIGH_COVERSION,Y
129,18,F,Brandi Moody,books_apparel_homedecor,DISCOUNT_NOT_INTERESTED,AVERAGE,Y
130,35,M,Christopher Floyd,electronics_outdoors_footwear,DISCOUNT_NOT_INTERESTED,AVERAGE,Y
131,32,M,Douglas Blair,footwear_jewelry_furniture,DISCOUNT_NOT_INTERESTED,AVERAGE,Y
132,26,F,Michele Hodge,tools_housewares_apparel,DISCOUNT_NOT_INTERESTED,LOW_CONVERSION,Y
133,22,F,Karen Crosby,accessories_groceries_books,DISCOUNT_INTERESTED,HIGH_COVERSION,Y
134,30,M,Oscar Smith,tools_housewares_apparel,DISCOUNT_NOT_INTERESTED,AVERAGE,Y
135,57,M,Robert Martin,footwear_jewelry_furniture,DISCOUNT_INTERESTED,LOW_CONVERSION,Y
136,29,F,Christina Miller,instruments_books_electronics,DISCOUNT_INTERESTED,AVERAGE,Y
137,35,F,Briana Turner,groceries_beauty_housewares,DISCOUNT_INTERESTED,AVERAGE,Y
138,42,F,Danielle Wilson,furniture_homedecor_housewares,DISCOUNT_NOT_INTERESTED,LOW_CONVERSION,Y
139,31,F,Claudia Gordon,outdoors_instruments_groceries,DISCOUNT_INTERESTED,LOW_CONVERSION,Y
140,61,F,Alicia Washington,apparel_footwear_accessories,DISCOUNT_NOT_INTERESTED,LOW_CONVERSION,Y
141,60,F,Holly Lawrence,accessories_groceries_books,DISCOUNT_INTERESTED,AVERAGE,Y
142,27,F,Barbara Massey,books_apparel_homedecor,DISCOUNT_INTERESTED,AVERAGE,Y
143,35,M,Michael Keller,footwear_jewelry_furniture,DISCOUNT_INTERESTED,AVERAGE,Y
144,29,M,Alex Stewart,electronics_outdoors_footwear,DISCOUNT_NOT_INTERESTED,AVERAGE,Y
145,28,F,Debra Little,furniture_homedecor_housewares,DISCOUNT_NOT_INTERESTED,AVERAGE,Y
146,19,M,Christopher Taylor,accessories_groceries_books,DISCOUNT_INTERESTED,LOW_CONVERSION,Y
147,38,M,Victor Suarez,homedecor_electronics_outdoors,DISCOUNT_NOT_INTERESTED,AVERAGE,Y
148,35,F,Nancy House,floral_beauty_jewelry,DISCOUNT_INTERESTED,AVERAGE,Y
149,20,F,Carrie Watkins,groceries_beauty_housewares,DISCOUNT_INTERESTED,AVERAGE,Y
150,28,F,Donna Snyder,homedecor_electronics_outdoors,DISCOUNT_INTERESTED,AVERAGE,Y
151,53,F,Amy Galvan,beauty_electronics_groceries,DISCOUNT_NOT_INTERESTED,LOW_CONVERSION,Y
152,27,M,Erik Stafford,books_apparel_homedecor,DISCOUNT_INTERESTED,AVERAGE,Y
153,23,F,Lauren Bonilla,outdoors_instruments_groceries,DISCOUNT_INTERESTED,AVERAGE,Y
154,34,F,Amy Jones,footwear_jewelry_furniture,DISCOUNT_INTERESTED,LOW_CONVERSION,Y
155,65,M,Peter Shepherd,groceries_furniture_floral,DISCOUNT_INTERESTED,AVERAGE,Y
156,27,M,Michael Hanson,books_apparel_homedecor,DISCOUNT_INTERESTED,AVERAGE,Y
157,41,F,Sarah Garrison,beauty_accessories_instruments,DISCOUNT_INTERESTED,LOW_CONVERSION,Y
158,44,F,Melissa Smith,housewares_floral_groceries,DISCOUNT_INTERESTED,AVERAGE,Y
159,27,F,Cynthia Hawkins,outdoors_instruments_groceries,DISCOUNT_INTERESTED,LOW_CONVERSION,Y
160,43,M,Richard Lynch,groceries_furniture_floral,DISCOUNT_NOT_INTERESTED,AVERAGE,Y
161,31,F,Jennifer Perez,instruments_books_electronics,DISCOUNT_NOT_INTERESTED,AVERAGE,Y
162,39,F,Jenny Wagner,tools_housewares_apparel,DISCOUNT_NOT_INTERESTED,LOW_CONVERSION,Y
163,39,M,Mark Barajas,furniture_homedecor_housewares,DISCOUNT_NOT_INTERESTED,AVERAGE,Y
164,36,M,Rick Thomas,housewares_tools_beauty,DISCOUNT_INTERESTED,HIGH_COVERSION,Y
165,21,M,Alexander Mccoy,beauty_accessories_instruments,DISCOUNT_INTERESTED,LOW_CONVERSION,Y
166,48,M,Tristan Gregory,footwear_jewelry_furniture,DISCOUNT_NOT_INTERESTED,LOW_CONVERSION,Y
167,29,F,Kimberly Jackson,tools_housewares_apparel,DISCOUNT_NOT_INTERESTED,HIGH_COVERSION,Y
168,25,M,Shawn Clark,floral_beauty_jewelry,DISCOUNT_INTERESTED,AVERAGE,Y
169,19,M,Brandon Austin,outdoors_instruments_groceries,DISCOUNT_INTERESTED,AVERAGE,Y
170,38,F,Teresa Davidson,apparel_footwear_accessories,DISCOUNT_INTERESTED,LOW_CONVERSION,Y
171,41,M,David Wells,floral_beauty_jewelry,DISCOUNT_INTERESTED,AVERAGE,Y
172,18,M,Antonio Collins,beauty_accessories_instruments,DISCOUNT_INTERESTED,HIGH_COVERSION,Y
173,35,F,Renee Bennett,beauty_accessories_instruments,DISCOUNT_NOT_INTERESTED,HIGH_COVERSION,Y
174,26,F,Stacey Clark,beauty_electronics_groceries,DISCOUNT_INTERESTED,LOW_CONVERSION,Y
175,40,M,Edward Stone,housewares_tools_beauty,DISCOUNT_INTERESTED,LOW_CONVERSION,Y
176,24,F,Rachel Todd,tools_housewares_apparel,DISCOUNT_INTERESTED,AVERAGE,Y
177,41,F,Amanda Barker,groceries_beauty_housewares,DISCOUNT_INTERESTED,AVERAGE,Y
178,31,M,Keith Long,electronics_outdoors_footwear,DISCOUNT_NOT_INTERESTED,AVERAGE,Y
179,56,M,Lawrence Thompson,groceries_furniture_floral,DISCOUNT_NOT_INTERESTED,AVERAGE,Y
180,23,F,Kristina Lopez,homedecor_electronics_outdoors,DISCOUNT_INTERESTED,AVERAGE,Y
181,30,M,Evan York,groceries_seasonal_tools,DISCOUNT_NOT_INTERESTED,AVERAGE,Y
182,22,M,Alexander Bradford,footwear_jewelry_furniture,DISCOUNT_NOT_INTERESTED,AVERAGE,Y
183,55,M,Jeff Obrien,housewares_floral_groceries,DISCOUNT_NOT_INTERESTED,AVERAGE,Y
184,51,F,Felicia Espinoza,books_apparel_homedecor,DISCOUNT_INTERESTED,AVERAGE,Y
185,27,F,Mary Hernandez,books_apparel_homedecor,DISCOUNT_NOT_INTERESTED,AVERAGE,Y
186,40,M,Jason Roberts,books_apparel_homedecor,DISCOUNT_INTERESTED,AVERAGE,Y
187,47,M,Kevin Huerta,footwear_jewelry_furniture,DISCOUNT_INTERESTED,HIGH_COVERSION,Y
188,37,M,Richard Moran,accessories_groceries_books,DISCOUNT_INTERESTED,AVERAGE,Y
189,36,F,Laura Smith,books_apparel_homedecor,DISCOUNT_INTERESTED,AVERAGE,Y
190,27,M,Robert Horn,housewares_tools_beauty,DISCOUNT_NOT_INTERESTED,AVERAGE,Y
191,21,F,Zoe Park,books_apparel_homedecor,DISCOUNT_INTERESTED,LOW_CONVERSION,Y
192,52,M,Christopher Rowland,footwear_jewelry_furniture,DISCOUNT_INTERESTED,HIGH_COVERSION,Y
193,52,F,Jacqueline Sandoval,outdoors_instruments_groceries,DISCOUNT_NOT_INTERESTED,AVERAGE,Y
194,39,M,Roberto Burns,beauty_electronics_groceries,DISCOUNT_NOT_INTERESTED,LOW_CONVERSION,Y
195,30,F,Julie Mitchell,furniture_homedecor_housewares,DISCOUNT_NOT_INTERESTED,AVERAGE,Y
196,30,F,Haley Gamble,groceries_seasonal_tools,DISCOUNT_INTERESTED,LOW_CONVERSION,Y
197,43,M,Timothy Day,apparel_footwear_accessories,DISCOUNT_INTERESTED,HIGH_COVERSION,Y
198,52,F,Brandi Fisher,homedecor_electronics_outdoors,DISCOUNT_NOT_INTERESTED,AVERAGE,Y
199,51,F,Angela Patterson,homedecor_electronics_outdoors,DISCOUNT_INTERESTED,AVERAGE,Y
200,45,F,Anne Smith,electronics_outdoors_footwear,DISCOUNT_INTERESTED,AVERAGE,Y
201,40,F,Alison Greene,instruments_books_electronics,DISCOUNT_NOT_INTERESTED,HIGH_COVERSION,Y
202,21,M,Christopher Williams,beauty_electronics_groceries,DISCOUNT_NOT_INTERESTED,AVERAGE,Y
203,24,F,Mary Parrish,tools_housewares_apparel,DISCOUNT_INTERESTED,AVERAGE,Y
204,52,M,Noah Morgan,apparel_footwear_accessories,DISCOUNT_NOT_INTERESTED,LOW_CONVERSION,Y
205,38,M,Michael Weber,housewares_floral_groceries,DISCOUNT_NOT_INTERESTED,HIGH_COVERSION,Y
206,18,M,Isaac Atkinson,tools_housewares_apparel,DISCOUNT_NOT_INTERESTED,LOW_CONVERSION,Y
207,22,F,Melanie Liu,floral_beauty_jewelry,DISCOUNT_INTERESTED,HIGH_COVERSION,Y
208,40,M,David Martin,beauty_accessories_instruments,DISCOUNT_NOT_INTERESTED,AVERAGE,Y
209,18,F,Laurie Reyes,accessories_groceries_books,DISCOUNT_NOT_INTERESTED,AVERAGE,Y
210,24,M,Benjamin Page,outdoors_instruments_groceries,DISCOUNT_INTERESTED,AVERAGE,Y
211,36,M,Gary Stewart,furniture_homedecor_housewares,DISCOUNT_INTERESTED,HIGH_COVERSION,Y
212,41,F,Sandra Davis,footwear_jewelry_furniture,DISCOUNT_NOT_INTERESTED,LOW_CONVERSION,Y
213,40,M,James Bailey,instruments_books_electronics,DISCOUNT_NOT_INTERESTED,AVERAGE,Y
214,26,M,Luis Jenkins,floral_beauty_jewelry,DISCOUNT_INTERESTED,AVERAGE,Y
215,42,F,Amanda Johnson,floral_beauty_jewelry,DISCOUNT_INTERESTED,LOW_CONVERSION,Y
216,27,M,Dalton Davis,accessories_groceries_books,DISCOUNT_INTERESTED,AVERAGE,Y
217,29,F,Brooke Harmon,accessories_groceries_books,DISCOUNT_NOT_INTERESTED,HIGH_COVERSION,Y
218,44,F,Jessica Griffin,furniture_homedecor_housewares,DISCOUNT_INTERESTED,AVERAGE,Y
219,40,F,Cindy Bradley,floral_beauty_jewelry,DISCOUNT_INTERESTED,AVERAGE,Y
220,49,F,Stephanie Hull,beauty_accessories_instruments,DISCOUNT_INTERESTED,AVERAGE,Y
221,40,M,Timothy Parrish,books_apparel_homedecor,DISCOUNT_NOT_INTERESTED,LOW_CONVERSION,Y
222,37,F,Diana Martin,beauty_electronics_groceries,DISCOUNT_INTERESTED,HIGH_COVERSION,Y
223,22,F,Jenna Robinson,books_apparel_homedecor,DISCOUNT_INTERESTED,AVERAGE,Y
224,31,F,Margaret Hernandez,homedecor_electronics_outdoors,DISCOUNT_NOT_INTERESTED,AVERAGE,Y
225,27,M,Edward Chavez,electronics_outdoors_footwear,DISCOUNT_INTERESTED,HIGH_COVERSION,Y
226,27,M,Joel Gaines,beauty_accessories_instruments,DISCOUNT_NOT_INTERESTED,AVERAGE,Y
227,62,F,Kara Wall,homedecor_electronics_outdoors,DISCOUNT_NOT_INTERESTED,HIGH_COVERSION,Y
228,31,F,Alexa Moore,homedecor_electronics_outdoors,DISCOUNT_NOT_INTERESTED,AVERAGE,Y
229,52,F,Anne Rodriguez,housewares_floral_groceries,DISCOUNT_NOT_INTERESTED,AVERAGE,Y
230,39,F,Cathy Blair,homedecor_electronics_outdoors,DISCOUNT_INTERESTED,HIGH_COVERSION,Y
231,46,F,Amanda Fisher,beauty_electronics_groceries,DISCOUNT_NOT_INTERESTED,AVERAGE,Y
232,35,M,William Richardson,instruments_books_electronics,DISCOUNT_NOT_INTERESTED,HIGH_COVERSION,Y
233,37,F,Amy Mccullough,housewares_tools_beauty,DISCOUNT_INTERESTED,AVERAGE,Y
234,35,M,Joseph Guerrero,housewares_tools_beauty,DISCOUNT_INTERESTED,LOW_CONVERSION,Y
235,25,F,Kimberly Morgan,beauty_accessories_instruments,DISCOUNT_NOT_INTERESTED,AVERAGE,Y
236,43,M,David Simpson,groceries_furniture_floral,DISCOUNT_NOT_INTERESTED,HIGH_COVERSION,Y
237,28,F,Sandra Becker,tools_housewares_apparel,DISCOUNT_INTERESTED,LOW_CONVERSION,Y
238,19,F,Rachel Hall,housewares_tools_beauty,DISCOUNT_INTERESTED,AVERAGE,Y
239,40,F,Megan Chavez,books_apparel_homedecor,DISCOUNT_INTERESTED,HIGH_COVERSION,Y
240,25,F,Stacy Snyder,accessories_groceries_books,DISCOUNT_NOT_INTERESTED,AVERAGE,Y
241,56,F,Brittany Cervantes,electronics_outdoors_footwear,DISCOUNT_INTERESTED,AVERAGE,Y
242,58,F,Tonya Prince,tools_housewares_apparel,DISCOUNT_NOT_INTERESTED,AVERAGE,Y
243,54,M,Derrick Chandler,homedecor_electronics_outdoors,DISCOUNT_NOT_INTERESTED,AVERAGE,Y
244,31,M,Andrew Brady,housewares_floral_groceries,DISCOUNT_NOT_INTERESTED,AVERAGE,Y
245,18,F,Anna Jackson,electronics_outdoors_footwear,DISCOUNT_NOT_INTERESTED,LOW_CONVERSION,Y
246,55,F,Jennifer Phillips,floral_beauty_jewelry,DISCOUNT_NOT_INTERESTED,LOW_CONVERSION,Y
247,33,F,Kimberly Rivera,tools_housewares_apparel,DISCOUNT_INTERESTED,AVERAGE,Y
248,60,M,Vincent Mclaughlin,groceries_furniture_floral,DISCOUNT_NOT_INTERESTED,AVERAGE,Y
249,60,M,Alexander Diaz,electronics_outdoors_footwear,DISCOUNT_NOT_INTERESTED,HIGH_COVERSION,Y
250,49,M,Samuel Miller,beauty_electronics_groceries,DISCOUNT_INTERESTED,AVERAGE,Y
251,28,M,Shawn Harding,housewares_tools_beauty,DISCOUNT_NOT_INTERESTED,AVERAGE,Y
252,31,M,Juan Paul,groceries_furniture_floral,DISCOUNT_INTERESTED,AVERAGE,Y
253,49,F,Jennifer Johnson,beauty_accessories_instruments,DISCOUNT_INTERESTED,AVERAGE,Y
254,29,M,Daniel Franklin,apparel_footwear_accessories,DISCOUNT_INTERESTED,AVERAGE,Y
